,X,Y,Z,gx,gy,gz,coord,feature_name
0,541963.19163038,7493283.13978594,674.3337120305703,0.5637102340673046,0.7000439341002919,0.43837114678907735,0,Fault_2997
1,545755.3624073934,7489723.89,674.3337120305703,0.5637102340673046,0.7000439341002919,0.43837114678907735,0,Fault_2997
2,534479.09627295,7498804.10098736,518.9818313655426,0.5637102340673046,0.7000439341002919,0.43837114678907735,0,Fault_2997
3,525794.77713101,7496712.51283815,473.15194527242295,-0.8407355773657558,-0.5312602839648115,0.10452846326765346,0,Fault_3496
4,530012.248380578,7489723.89,473.15194527242295,-0.8407355773657558,-0.5312602839648115,0.10452846326765346,0,Fault_3496
5,522189.26567998,7502103.99834995,547.9009647774983,-0.8407355773657558,-0.5312602839648115,0.10452846326765346,0,Fault_3496
6,532914.74969844,7501129.60123437,596.9398929098236,0.7158482261571691,0.5305223305892705,0.45399049973954686,0,Fault_3498
7,539513.18738029,7491597.13566214,596.9398929098236,0.7158482261571691,0.5305223305892705,0.45399049973954686,0,Fault_3498
8,530175.96563729,7504196.10320143,574.9156341302787,0.7158482261571691,0.5305223305892705,0.45399049973954686,0,Fault_3498
9,534321.30492983,7491059.07179509,558.9449048693546,0.23786642062354135,0.9523715100858164,0.19080899537654492,0,Fault_7439
10,540588.0629057533,7489723.89,558.9449048693546,0.23786642062354135,0.9523715100858164,0.19080899537654492,0,Fault_7439
11,527475.04337437,7492999.02684152,493.1021139078194,0.23786642062354135,0.9523715100858164,0.19080899537654492,0,Fault_7439
12,524494.08762163,7496605.00666576,535.0082514443101,0.8284417463508296,0.52005480646225,0.20791169081775948,0,Fault_12647
13,520343.17884566,7501712.97896174,535.0082514443101,0.8284417463508296,0.52005480646225,0.20791169081775948,0,Fault_12647
14,527869.336680077,7489723.89,448.2019668469705,0.8284417463508296,0.52005480646225,0.20791169081775948,0,Fault_12647
15,548978.50085605,7508211.38333105,627.0135395186778,0.804019186643728,0.32179674875417574,0.5000000000000001,0,Fault_12658
16,546639.32683299,7512670.78252025,627.0135395186778,0.804019186643728,0.32179674875417574,0.5000000000000001,0,Fault_12658
17,551978.745,7499330.080140844,536.5018389409632,0.804019186643728,0.32179674875417574,0.5000000000000001,0,Fault_12658
