X;Y;Z;OrientX;OrientY;OrientZ
552189.310547;7819406.617188;-9797.297852;-0.076036;0.041318;-0.996249
552201.810547;7819406.617188;-9798.693359;-0.044863;0.045039;-0.997977
552214.310547;7819406.617188;-9798.426758;0.074373;0.009594;-0.997184
552201.810547;7819425.390625;-9797.804688;-0.039994;0.047585;-0.998066
551439.310547;7820589.128906;-9805.916992;0.075779;-0.310751;-0.947466
550851.810547;7820720.519531;-9797.066406;-0.532043;-0.275707;-0.800572
551226.810547;7819800.789063;-9789.371094;-0.069551;0.093259;-0.993210
551239.310547;7819744.480469;-9795.443359;-0.094403;0.068798;-0.993154
550976.810547;7819425.390625;-9748.006836;-0.555253;-0.085871;-0.827237
550551.810547;7818674.589844;-9228.764648;0.109148;0.332519;-0.936759
550576.808594;7818618.281250;-9240.390625;0.249464;0.225306;-0.941809
550814.310547;7818561.968750;-9897.173828;0.177374;0.070957;-0.981582
550214.310547;7818299.187500;-9284.345703;-0.228273;-0.046569;-0.972483
552226.810547;7819406.617188;-9796.917969;0.078851;-0.021838;-0.996647
551476.810547;7818374.269531;-9687.792969;-0.269706;-0.050618;-0.961611
551651.810547;7817811.167969;-9816.841797;-0.204194;0.003709;-0.978923
551626.810547;7817829.937500;-9813.594727;0.020179;0.040417;-0.998979
551639.310547;7817811.167969;-9814.689453;-0.105093;0.028396;-0.994057
550639.310547;7817642.238281;-9257.282227;-0.028335;-0.158873;-0.986892
550926.810547;7817248.070313;-9789.704102;0.162537;-0.105722;-0.981022
550989.310547;7817210.527344;-9782.967773;0.187195;0.138165;-0.972558
550939.310547;7821227.308594;-9958.425781;-0.080561;-0.043063;-0.995819
549276.810547;7820682.980469;-9985.125977;-0.161328;0.075208;-0.984031
548976.810547;7820345.121094;-9974.265625;-0.012103;-0.153309;-0.988104
549764.310547;7820457.738281;-9901.208984;0.369490;-0.187053;-0.910213
